LName,FName,MI,ANumber,Grad year,Sex,LVL,College,Degree,Program,Major1,Major2,Minor1,Minor2,Conc1,Conc2,Salary,Loans,StartDate,GraduatedAtUindy
Brewer,Chris,E,A00933071,201320,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,61,10,201120,0
Castro,Walter,D,A00943278,201310,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,47,45,201210,0
Ruiz,Arthur,G,A00928022,201320,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,55,37,201120,0
Higgins,Darrell,P,A00989598,201310,M,G,BH,MA,MA-BH,GPSY,,,,FORE,,40,58,201210,1
Castro,Jerry,H,A00949942,201310,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,54,16,201110,1
Lawrence,Jeremiah,J,A00976413,201310,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,61,18,201110,1
Maxwell,Francisco,W,A00958495,201420,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,27,35,201320,0
Floyd,Bessie,A,A00965426,201420,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,43,47,200820,0
Byrd,Timothy,O,A00902580,201420,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,46,14,201120,0
Pratt,Jesse,J,A00997508,201410,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,47,44,201010,1
Jensen,Mildred,N,A00960520,201410,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,44,48,201010,0
Roberts,Beatrice,V,A00906405,201420,M,G,BH,MA,MA-BH,GPSY,,,,GPRE,,54,100,201320,0
Phillips,Marie,C,A00995936,201420,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,58,40,201220,0
Lynch,Maud,P,A00953394,201420,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,54,100,200820,1
Cruz,Sophie,V,A00943082,201410,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,39,47,201010,1
Jimenez,Noah,Z,A00913082,201420,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,54,75,201320,1
Casey,Callie,K,A00912391,201420,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,58,79,201120,1
Washington,Tillie,R,A00963036,201420,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,44,79,201120,1
Burgess,Lydia,J,A00967981,201410,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,48,75,200810,1
Taylor,Andrew,L,A00958831,201420,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,45,70,201220,1
Luna,Chris,N,A00993636,201520,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,38,56,201120,0
Cunningham,Alvin,K,A00931648,201520,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,54,81,201420,1
Lee,Hallie,H,A00903856,201510,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,54,11,201410,0
Massey,Harriet,P,A00932190,201520,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,35,25,201320,0
Hines,Derek,G,A00952524,201510,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,43,13,201210,1
Keller,Nell,Y,A00997932,201520,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,35,94,201020,0
Robertson,Carl,J,A00960840,201520,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,60,88,201420,1
Mullins,Louisa,O,A00937392,201520,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,67,25,201320,0
Vega,Tommy,K,A00936449,201520,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,50,88,201220,1
Newton,Genevieve,U,A00951214,201520,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,46,86,201320,1
Neal,Pearl,S,A00962156,201520,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,40,12,201120,1
Lyons,Madge,E,A00955288,201510,F,G,BH,MA,MA-BH,GPSY,,,,FORE,,57,53,201210,1
Dixon,Isabel,J,A00951619,201520,M,G,BH,MA,MA-BH,GPSY,,,,PEVL,,54,21,201320,1
Cobb,Estelle,W,A00936407,201520,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,51,68,201020,0
Evans,Virgie,N,A00955647,201520,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,36,26,201320,1
Welch,Ruth,G,A00934035,201620,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,37,65,201220,1
Figueroa,Adele,S,A00947848,201610,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,62,48,201410,0
Gonzalez,Isabelle,V,A00996770,201620,F,G,BH,MA,MA-BH,GPSY,,,,FORE,,42,34,201020,0
Jimenez,Lida,D,A00911556,201620,F,G,BH,MA,MA-BH,GPSY,,,,FORE,,41,94,201020,1
Zimmerman,Bradley,V,A00955907,201620,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,54,80,201520,1
Rhodes,Andre,V,A00944960,201620,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,64,32,201420,1
Potter,Cody,Y,A00921226,201620,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,66,88,201220,1
Jefferson,Wesley,P,A00998654,201610,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,72,26,201310,1
Riley,Abbie,V,A00925363,201620,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,54,11,201220,1
Flowers,Belle,S,A00958780,201620,M,G,BH,MA,MA-BH,GPSY,,,,GPRE,,64,98,201120,1
Alexander,Lloyd,Y,A00969139,201610,M,G,BH,MA,MA-BH,GPSY,,,,PEVL,,61,83,201110,1
Stevenson,Marion,N,A00999515,201610,M,G,BH,MA,MA-BH,GPSY,,,,PEVL,,59,58,201110,1
Pearson,Ricky,Q,A00991867,201610,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,55,92,201310,0
Stephens,Mollie,F,A00917820,201620,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,54,55,201020,1
Figueroa,Austin,J,A00980966,201620,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,56,39,201320,0
Bishop,Derrick,P,A00902427,201620,F,G,BH,MA,MA-BH,GPSY,,,,FORE,,42,20,201020,1
Castro,Eva,R,A00943722,201610,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,43,13,201110,1
Guzman,Georgie,Y,A00999392,201620,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,38,64,201420,0
Elliott,Clifford,I,A00928526,201720,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,42,67,201420,1
Goodwin,Lydia,B,A00944124,201710,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,43,99,201110,1
Vargas,Daisy,A,A00903048,201720,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,36,33,201420,0
Dennis,Lida,P,A00934771,201720,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,40,83,201120,1
Fernandez,Amelia,G,A00978679,201710,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,23,29,201210,1
Blake,Kate,I,A00910827,201710,F,G,BH,MA,MA-BH,GPSY,,,,GPRE,,39,21,201310,1
Medina,Elva,P,A00906604,201710,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,50,57,201610,1
Hawkins,Genevieve,F,A00994326,201720,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,44,54,201320,1
Huff,Allie,D,A00915668,201720,M,G,BH,MA,MA-BH,GPSY,,,,PEVL,,45,66,201120,1
Schneider,Eric,X,A00957581,201710,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,49,63,201410,0
Turner,Lelia,R,A00964734,201720,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,35,68,201320,1
Tyler,Oscar,O,A00924809,201710,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,52,22,201310,1
Goodwin,Jim,E,A00928068,201720,F,G,BH,MA,MA-BH,GPSY,,,,FORE,,53,76,201420,0
Soto,Mina,T,A00913724,201720,M,G,BH,MA,MA-BH,GPSY,,,,GENP,,75,41,201320,1
Webster,Rachel,P,A00921158,201720,F,G,BH,MA,MA-BH,GPSY,,,,PEVL,,47,47,201320,0
Valdez,George,P,A00957792,201720,M,G,BH,MA,MA-BH,GPSY,,,,PEVL,,59,38,201120,1
Jones,Duane,L,A00929640,201720,F,G,BH,MA,MA-BH,GPSY,,,,GENP,,53,71,201620,0
Cannon,Laura,I,A00992416,201020,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,49,90,200520,0
Jefferson,Gavin,C,A00957049,201020,F,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,47,86,200920,0
Lloyd,Rosie,F,A00959003,201010,F,U,AS,BS,BS-AS,HBIO,,,,PATG,,55,68,200510,1
Pratt,Iva,Y,A00995087,201020,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,57,69,200720,1
McDaniel,Benjamin,I,A00931491,201020,F,U,AS,BS,BS-AS,HBIO,,,,,,61,62,200420,1
Ward,Troy,I,A00948683,201020,F,U,AS,BS,BS-AS,HBIO,,,,,,41,53,200920,1
Walters,Leah,H,A00971592,201020,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,57,79,200920,1
Owen,Mary,A,A00921153,201110,M,U,AS,BS,BS-AS,HBIO,,,,,,52,41,200810,1
Bishop,Madge,S,A00957701,201120,M,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,51,51,200520,1
Higgins,Cody,B,A00982921,201120,M,U,AS,BS,BS-AS,HBIO,,,,PPT,,61,22,200720,0
Wolfe,Pearl,P,A00964666,201120,F,U,AS,BS,BS-AS,HBIO,,SPAN,ANTH,,,45,31,200720,1
Garrett,Lydia,C,A00994211,201110,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,54,78,200610,0
Jenkins,Nina,Z,A00930840,201120,M,U,AS,BS,BS-AS,HBIO,,,,PPT,,62,89,200820,0
Garner,Linnie,J,A00996563,201110,M,U,AS,BS,BS-AS,HBIO,,,,HON,,34,43,200510,0
Harmon,Essie,Z,A00958096,201110,F,U,AS,BS,BS-AS,HBIO,,,,,,61,76,200810,1
Foster,Keith,C,A00965225,201120,M,U,AS,BS,BS-AS,HBIO,,,,PPT,,31,58,200620,1
Cannon,Tillie,R,A00991672,201210,F,U,AS,BS,BS-AS,HBIO,,,,,,52,17,200910,1
Rodriquez,Dale,A,A00935504,201210,F,U,AS,BS,BS-AS,HBIO,,,,PATG,,40,59,200810,0
Graham,Dorothy,D,A00975818,201210,F,U,AS,BS,BS-AS,HBIO,,,,POT,,45,12,200910,1
Nichols,Jeffrey,M,A00933133,201220,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,56,41,200820,0
Simmons,Elsie,J,A00914453,201220,M,U,AS,BS,BS-AS,HBIO,,,,PPT,HON,56,86,201020,0
Clarke,Lee,E,A00926689,201210,F,U,AS,BS,BS-AS,HBIO,,PSYC,,POT,,52,57,200810,0
Hart,Phoebe,S,A00985857,201220,F,U,AS,BS,BS-AS,HBIO,,,,HON,,69,69,201120,1
Henderson,Lily,K,A00932757,201220,F,U,AS,BS,BS-AS,HBIO,,,,,,54,63,201120,1
Williams,Stanley,W,A00956831,201220,M,U,AS,BS,BS-AS,HBIO,,PSYC,,POT,,53,64,200920,1
Gilbert,Michael,H,A00905389,201220,F,U,AS,BS,BS-AS,HBIO,,SPAN,ANTH,,,49,10,200720,1
Cortez,Mayme,E,A00921011,201310,F,U,AS,BS,BS-AS,HBIO,,,,,,51,25,201110,1
Henry,Margaret,B,A00947231,201320,M,U,AS,BS,BS-AS,HBIO,,PSYC,,POT,,48,65,200720,1
Hayes,Charles,F,A00945176,201320,F,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,52,77,200820,1
Lynch,Dean,F,A00965804,201320,F,U,AS,BS,BS-AS,HBIO,,,,,,27,42,200820,1
Lane,Jacob,V,A00966839,201310,M,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,66,52,200910,1
Ramos,Della,Z,A00934438,201310,M,U,AS,BS,BS-AS,HBIO,,,,PPT,,52,45,200710,1
Hodges,Tommy,B,A00969357,201310,F,U,AS,BS,BS-AS,HBIO,,,,POT,,55,13,200910,0
McBride,Lelia,L,A00953498,201320,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,51,31,201120,1
Sandoval,Fannie,M,A00950206,201310,F,U,AS,BS,BS-AS,HBIO,,,,,,56,62,201110,1
Pope,Theodore,U,A00958908,201310,F,U,AS,BS,BS-AS,HBIO,,,,POT,,44,13,200910,1
Harris,Ian,R,A00982983,201420,F,U,AS,BS,BS-AS,HBIO,,,,,,65,33,200820,1
Davis,Landon,X,A00919480,201410,M,U,AS,BS,BS-AS,HBIO,,,,PATG,,64,44,201010,1
Gibson,Norman,N,A00921073,201420,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,55,78,201320,1
Robinson,Effie,J,A00907446,201410,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,52,89,201210,1
McCoy,Rosetta,M,A00939674,201410,F,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,63,61,201210,1
Gregory,Brett,A,A00970230,201420,M,U,AS,BS,BS-AS,HBIO,,,,,,29,66,200920,0
Brooks,Jeffrey,X,A00914198,201420,F,U,AS,BS,BS-AS,HBIO,,,,PMED,,42,14,201120,1
Fowler,Rebecca,S,A00987276,201420,F,U,AS,BS,BS-AS,HBIO,,,,HON,,46,71,201220,0
Schmidt,Raymond,L,A00952218,201420,F,U,AS,BS,BS-AS,HBIO,,,,,,26,32,200820,0
Patrick,Maggie,O,A00941874,201510,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,50,58,201210,1
Hall,Kathryn,V,A00959260,201520,F,U,AS,BS,BS-AS,HBIO,,,,POT,,65,52,201420,0
Bailey,Phoebe,Z,A00900759,201520,F,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,33,59,201420,1
Frank,Hester,X,A00955011,201520,F,U,AS,BS,BS-AS,HBIO,,,,PATG,,55,72,201220,1
Burton,Beatrice,Y,A00991294,201510,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,40,76,201310,1
Boone,Mamie,K,A00917499,201520,F,U,AS,BS,BS-AS,HBIO,,,,PMED,,45,40,201120,1
Meyer,Lilly,P,A00986000,201520,F,U,AS,BS,BS-AS,HBIO,,,,,,48,52,200920,1
Day,Jacob,O,A00938328,201520,F,U,AS,BS,BS-AS,HBIO,,,,PMED,,38,97,201120,1
Munoz,Sallie,D,A00997569,201520,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,55,49,201320,0
Higgins,Marie,L,A00916110,201520,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,48,87,201420,1
McCoy,Jerome,R,A00910967,201520,F,U,AS,BS,BS-AS,HBIO,,,,,,47,43,201020,1
Chapman,Ina,Z,A00970042,201620,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,51,23,201220,1
McCoy,Bradley,I,A00960872,201620,F,U,AS,BS,BS-AS,HBIO,,,,,,58,90,201020,0
Sanchez,Trevor,U,A00979559,201620,F,U,AS,BS,BS-AS,HBIO,,,,HON,,48,54,201120,1
Butler,Addie,A,A00926108,201620,F,U,AS,BS,BS-AS,HBIO,,SPAN,ANTH,,,37,47,201020,1
Sims,Joseph,I,A00997869,201620,F,U,AS,BS,BS-AS,HBIO,SPAN,CRIM,,,,48,44,201220,1
Blake,Bradley,L,A00908809,201620,M,U,AS,BS,BS-AS,HBIO,,,,,,67,92,201220,0
Pratt,Norman,W,A00959305,201610,F,U,AS,BS,BS-AS,HBIO,,,,POT,,56,11,201110,1
Crawford,Adrian,O,A00968690,201620,F,U,AS,BS,BS-AS,HBIO,,,,,,60,75,201320,1
Jones,Lillie,N,A00944433,201620,F,U,AS,BS,BS-AS,HBIO,,,,,,41,31,201020,1
Parsons,Beatrice,W,A00907705,201720,F,U,AS,BS,BS-AS,HBIO,,,,POT,,44,38,201520,0
Adkins,Tony,M,A00996502,201710,F,U,AS,BS,BS-AS,HBIO,,,,,,56,30,201310,1
Mendoza,Leila,P,A00981210,201720,F,U,AS,BS,BS-AS,HBIO,,,,PPT,,29,89,201620,1
Logan,Gregory,D,A00959716,201710,F,U,AS,BS,BS-AS,HBIO,,,,,,53,97,201410,0
Bowman,Micheal,C,A00913378,201710,M,U,AS,BS,BS-AS,HBIO,,PSYC,SPAN,PMED,,58,46,201110,1
Dixon,Logan,W,A00954680,201720,F,U,AS,BS,BS-AS,HBIO,,,,,,69,65,201120,1
McGee,Jeremy,Z,A00961120,201720,F,U,AS,BS,BS-AS,HBIO,,,,PMED,,52,77,201220,1
McKenzie,Sue,Z,A00967027,201720,F,U,AS,BS,BS-AS,HBIO,,,,,,40,73,201320,1
Yates,Lucy,E,A00959390,201720,F,U,AS,BS,BS-AS,HBIO,,,,,,64,45,201220,1
Kelly,Eugenia,I,A00957888,201720,F,U,AS,BS,BS-AS,HBIO,,SPAN,ANTH,,,71,66,201220,1
Munoz,Rena,X,A00985908,201720,F,U,AS,BS,BS-AS,HBIO,,,,PMED,,54,64,201520,1
Mitchell,Troy,E,A00902288,201020,F,U,CH,BS,BS-CH,HCCA,,,,,,57,55,200720,0
Gregory,Laura,O,A00900350,201010,F,U,CH,BS,BS-CH,HCCA,,PSYC,,AGST,,55,72,200910,1
Mills,Raymond,D,A00985115,201120,F,U,CH,BS,BS-CH,HCCA,,PSYC,,,,55,25,200920,1
Sanders,Bradley,P,A00931071,201110,F,U,CH,BS,BS-CH,HCCA,,PSYC,,,,45,65,200910,0
Foster,May,Q,A00982345,201220,F,U,CH,BS,BS-CH,HCCA,,PSYC,,AGST,,53,17,200620,1
Glover,Carolyn,W,A00906199,201220,F,U,CH,BS,BS-CH,HCCA,,,,,,49,48,201120,1
Harrison,Myrtle,C,A00971965,201320,F,U,CH,BS,BS-CH,HCCA,,,,,,55,72,200720,1
Bowen,Gregory,U,A00986127,201320,F,U,CH,BS,BS-CH,HCCA,,,,,,53,97,200720,1
Parsons,Jesse,Z,A00911657,201420,F,U,CH,BS,BS-CH,HCCA,,PSYC,,,,50,50,201320,0
Romero,Daisy,Z,A00963190,201420,F,U,CH,BS,BS-CH,HCCA,,,,,,40,47,201320,1
Garza,Steven,U,A00921153,201420,F,U,CH,BS,BS-CH,HCCA,,,,,,40,64,201320,1
Greene,Billy,N,A00929257,201510,F,U,CH,BS,BS-CH,HCCA,,,,,,53,44,201010,1
Henry,Isabelle,L,A00920147,201520,F,U,CH,BS,BS-CH,HCCA,,,,,,66,78,200920,1
Rodgers,Darrell,O,A00913723,201620,F,U,CH,BS,BS-CH,HCCA,,PSYC,,,,47,68,201520,0
Moran,Owen,I,A00952828,201620,F,U,CH,BS,BS-CH,HCCA,,PSYC,,AGST,,67,45,201120,0
Spencer,Jordan,F,A00912154,201720,F,U,CH,BS,BS-CH,HCCA,,,,,,41,88,201320,1
Garner,Christine,U,A00921326,201720,F,U,CH,BS,BS-CH,HCCA,,PSYC,,,,57,34,201220,1
Cruz,Isabelle,K,A00997750,201010,F,G,CH,MS,MS-CH,HCM,,,,,,58,98,200610,1
Palmer,Lillie,R,A00998578,201120,F,G,CH,MS,MS-CH,HCM,,,,,,57,37,200620,0
Bradley,Lina,Y,A00969864,201220,F,G,CH,MS,MS-CH,HCM,,,,,,45,69,200720,0
Poole,Blake,T,A00912265,201220,F,G,CH,MS,MS-CH,HCM,,,,,,47,24,200620,1
Mills,Noah,L,A00925100,201320,F,G,CH,MS,MS-CH,HCM,,,,,,58,63,200920,1
Quinn,Annie,R,A00942538,201310,F,G,CH,MS,MS-CH,HCM,,,,,,27,59,200710,0
Martinez,Josie,V,A00916185,201320,F,G,CH,MS,MS-CH,HCM,,,,,,34,94,201120,1
Peters,Bessie,R,A00947104,201420,F,G,CH,MS,MS-CH,HCM,,,,,,53,42,200820,1
Davidson,Herman,P,A00964878,201420,F,G,CH,MS,MS-CH,HCM,,,,,,55,32,201120,0
Simpson,Chris,Y,A00972428,201420,F,G,CH,MS,MS-CH,HCM,,,,,,34,52,201220,1
Ballard,Cora,M,A00975738,201520,M,G,CH,MS,MS-CH,HCM,,,,,,43,82,201020,1
Maxwell,Beatrice,B,A00912757,201520,F,G,CH,MS,MS-CH,HCM,,,,,,59,97,200920,1
Zimmerman,Albert,Y,A00920243,201510,M,G,CH,MS,MS-CH,HCM,,,,,,42,76,201010,1
Parker,Dora,O,A00949796,201520,F,G,CH,MS,MS-CH,HCM,,,,,,53,16,201420,0
Chambers,Norman,L,A00912838,201620,F,G,CH,MS,MS-CH,HCM,,,,,,57,40,201120,0
Horton,Frederick,F,A00923950,201620,F,G,CH,MS,MS-CH,HCM,,,,,,33,88,201320,0
Fleming,Dominic,M,A00916276,201620,F,G,CH,MS,MS-CH,HCM,,,,,,45,66,201420,0
Alvarado,Maggie,E,A00925360,201610,F,G,CH,MS,MS-CH,HCM,,,,,,49,96,201210,1
Colon,Isaac,U,A00932478,201720,M,G,CH,MS,MS-CH,HCM,,,,,,55,16,201220,0
Wells,Rodney,W,A00975364,201720,M,G,CH,MS,MS-CH,HCM,,,,,,58,41,201120,0
Bass,Harriett,F,A00938092,201710,F,G,CH,MS,MS-CH,HCM,,,,,,51,65,201610,1
Dixon,Lelia,S,A00980497,201720,M,G,CH,MS,MS-CH,HCM,,,,,,44,29,201420,1
Dennis,Douglas,H,A00984732,201010,F,U,AS,BA,BA-AS,HIST,,PHIL,,US,,70,89,200710,1
Roy,Fannie,J,A00985468,201020,F,U,AS,BA,BA-AS,HIST,,SPAN,,,,53,25,200720,1
Ferguson,Celia,P,A00974976,201010,F,U,AS,BA,BA-AS,HIST,GG2,,,,,46,89,200610,1
Freeman,Edith,V,A00906131,201020,F,U,AS,BA,BA-AS,HIST,,PHIL,,,,30,45,200620,1
Horton,Curtis,Y,A00922894,201020,M,U,AS,BA,BA-AS,HIST,,PHIL,,,,54,33,200720,1
Howell,Marguerite,F,A00931715,201010,F,U,AS,BA,BA-AS,HIST,PSCI,,,,,49,24,200610,1
Gregory,Caroline,X,A00986851,201010,F,U,AS,BA,BA-AS,HIST,,,,US,,60,17,200810,0
Ortiz,Mason,C,A00981008,201010,M,U,AS,BA,BA-AS,HIST,,,,,,42,16,200410,0
Roberts,Carolyn,R,A00914408,201020,M,U,AS,BA,BA-AS,HIST,,,,,,49,74,200820,0
Salazar,Nettie,R,A00945321,201020,M,U,AS,BA,BA-AS,HIST,GG2,,,,,46,40,200420,1
Ward,Grace,K,A00958466,201120,F,U,AS,BA,BA-AS,HIST,,PSCI,,,,43,43,200720,0
McDaniel,Harold,S,A00917075,201120,F,U,AS,BA,BA-AS,HIST,,PSCI,,,,41,90,200620,1
Alexander,Marie,G,A00980599,201120,F,U,AS,BA,BA-AS,HIST,GG2,,,,,56,27,201020,1
Harmon,Lilly,J,A00908233,201120,F,U,AS,BA,BA-AS,HIST,PSCI,,,,,66,35,200720,1
Wright,Phillip,X,A00904769,201120,M,U,AS,BA,BA-AS,HIST,,PHIL,,,,67,17,201020,0
Scott,Emilie,V,A00922130,201120,M,U,AS,BA,BA-AS,HIST,,,,,,44,18,201020,0
Barber,Russell,B,A00972964,201120,M,U,AS,BA,BA-AS,HIST,,PHIL,,,,43,42,200720,1
Moreno,Dominic,C,A00997833,201120,F,U,AS,BA,BA-AS,HIST,GG2,PSCI,,,,36,100,200620,1
Morrison,Josie,J,A00976668,201120,F,U,AS,BA,BA-AS,HIST,GG2,,,US,,49,23,200820,0
Lee,Kenneth,R,A00900638,201210,F,U,AS,BA,BA-AS,HIST,GG2,,,,,53,87,201010,1
Fox,Duane,Y,A00956860,201220,F,U,AS,BA,BA-AS,HIST,GG2,,,,,43,81,201120,1
Ward,Arthur,X,A00995894,201220,F,U,AS,BA,BA-AS,HIST,GG2,,,,,60,78,201020,0
Fletcher,Sylvia,Y,A00911843,201220,F,U,AS,BA,BA-AS,HIST,,,,US,,32,61,200720,1
Schmidt,Adelaide,C,A00908292,201220,M,U,AS,BA,BA-AS,HIST,,,,US,,42,95,200620,1
Dunn,Lloyd,E,A00966590,201220,F,U,AS,BA,BA-AS,HIST,,PHIL,,,,47,45,201020,1
Walker,Billy,S,A00985915,201220,M,U,AS,BA,BA-AS,HIST,,,,,,36,46,200620,0
Rodgers,Eugenia,R,A00949887,201320,F,U,AS,BA,BA-AS,HIST,GG2,PSCI,,,,53,31,201220,1
Nash,Evan,I,A00900692,201320,F,U,AS,BA,BA-AS,HIST,GG2,,,,,49,55,201020,1
Bell,Birdie,B,A00997524,201310,M,U,AS,BA,BA-AS,HIST,,PSCI,,,,37,99,201010,1
Reed,Sara,M,A00956235,201320,F,U,AS,BA,BA-AS,HIST,GG2,,,,,38,35,200920,1
Floyd,Josephine,S,A00979673,201320,F,U,AS,BA,BA-AS,HIST,GG2,,,,,50,100,200820,1
Summers,Violet,Y,A00936405,201320,F,U,AS,BA,BA-AS,HIST,PSCI,,,,,55,28,201020,1
Patterson,Eddie,J,A00930136,201320,M,U,AS,BA,BA-AS,HIST,,PHIL,,US,,57,36,201120,1
Ramos,Dominic,M,A00924367,201320,M,U,AS,BA,BA-AS,HIST,,PSCI,,,,36,87,201020,1
Hawkins,Rosalie,Z,A00949780,201410,M,U,AS,BA,BA-AS,HIST,,,,US,,61,92,201310,0
Roy,Amanda,N,A00932995,201410,F,U,AS,BA,BA-AS,HIST,SED2,,,,,47,58,200810,1
Jackson,Wayne,S,A00923335,201420,M,U,AS,BA,BA-AS,HIST,GG2,PSCI,,,,52,30,201320,1
Porter,Tony,R,A00947581,201420,M,U,AS,BA,BA-AS,HIST,GG2,,,,,46,40,200820,1
Brooks,Betty,I,A00903330,201420,M,U,AS,BA,BA-AS,HIST,,,,,,44,87,201020,1
Stokes,Leon,W,A00906427,201420,M,U,AS,BA,BA-AS,HIST,PSCI,,,,,61,65,200820,1
Wagner,Madge,L,A00915993,201420,F,U,AS,BA,BA-AS,HIST,GG2,,,US,,44,15,200820,0
Carroll,Stella,N,A00994461,201420,M,U,AS,BA,BA-AS,HIST,GG2,,,,,29,34,201120,1
Tucker,Ollie,Y,A00950867,201520,F,U,AS,BA,BA-AS,HIST,,,,US,,60,24,201420,1
Tyler,Hallie,V,A00946329,201520,M,U,AS,BA,BA-AS,HIST,GG2,,,,,58,43,201220,1
Brock,Hilda,X,A00958340,201520,F,U,AS,BA,BA-AS,HIST,,PHIL,,US,,45,84,201420,0
Frank,Jerry,I,A00960667,201520,M,U,AS,BA,BA-AS,HIST,,PSCI,,,,39,72,201020,0
Ross,Edith,P,A00910477,201520,F,U,AS,BA,BA-AS,HIST,,,,US,,57,81,201020,1
Walters,Ricardo,N,A00941435,201510,F,U,AS,BA,BA-AS,HIST,,,,US,,39,15,200910,1
Burgess,Ora,X,A00936275,201520,M,U,AS,BA,BA-AS,HIST,,EXD,,HON,,54,13,201320,1
McDaniel,Essie,Q,A00980657,201520,M,U,AS,BA,BA-AS,HIST,GG2,,,US,,49,29,200920,1
Joseph,Harold,R,A00935114,201620,M,U,AS,BA,BA-AS,HIST,GG2,,,,,68,24,201120,1
McKenzie,Joel,U,A00987142,201620,F,U,AS,BA,BA-AS,HIST,GG2,,,,,51,65,201420,1
Torres,Walter,C,A00958669,201610,M,U,AS,BA,BA-AS,HIST,GG2,,,,,39,78,201010,1
Floyd,Millie,X,A00900025,201610,F,U,AS,BA,BA-AS,HIST,GG2,,,,,57,62,201510,0
Clarke,Miguel,V,A00992452,201620,F,U,AS,BA,BA-AS,HIST,SED2,,,,,44,91,201020,1
Copeland,Lee,K,A00911025,201610,M,U,AS,BA,BA-AS,HIST,,SPAN,,,,31,11,201010,0
Holmes,Erik,G,A00922050,201620,M,U,AS,BA,BA-AS,HIST,GG2,,,,,52,43,201420,1
Johnson,Cody,E,A00941017,201720,F,U,AS,BA,BA-AS,HIST,,PHIL,,US,,31,94,201520,1
